en-de	gold	0	(PERSON2) Ja, das ist das einzige, was ich für positive Einschränkungen getan habe.	( PERSON2 ) Ja , das ist das einzige , was ich für positive Einschränkungen getan habe . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	33	"Ich nenne es ""Do-it-yourself Integration""."	"Ich nenne es "" Do-it-yourself Integration "" . <EOS>"	OK OK OK OK OK OK OK OK OK
en-de	gold	34	Wenn Sie also mit [PERSON5] arbeiten und die Einstellungen dokumentieren, stellen Sie sicher, dass sie von Kollegen, wie z. B. von [ Person 4 ] oder sogar [ Person 9 ] für die Sprachmodellprüfungen und alle anderen gut genug getestet werden.	Wenn Sie also mit [ PERSON5 ] arbeiten und die Einstellungen dokumentieren , stellen Sie sicher , dass sie von Kollegen , wie z. B. von [ Person 4 ] oder sogar [ Person 9 ] für die Sprachmodellprüfungen und alle anderen gut genug getestet werden . <EOS>	BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	35	Also, wann immer jemand eine neue nützliche Komponente entwickelt, sollte die gesamte Pipeline für ihn ziemlich leicht zugänglich sein, so dass er es selbst testen kann.	Also , wann immer jemand eine neue nützliche Komponente entwickelt , sollte die gesamte Pipeline für ihn ziemlich leicht zugänglich sein , so dass er es selbst testen kann . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	36	Diese Do-it-yourself-Integration ist also wichtig, denn sonst bleibt alles bei Ihnen, [PERSON8], und Sie wollen nicht überlastet werden.	Diese Do-it-yourself-Integration ist also wichtig , denn sonst bleibt alles bei Ihnen , [ PERSON8 ] , und Sie wollen nicht überlastet werden . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	37	Also, Sie wollen diese Leute mit Eingaben und Ausgänge als erste Test-Ansatz, der bereits getan wurde. [PERSON4], richtig?	Also , Sie wollen diese Leute mit Eingaben und Ausgänge als erste Test-Ansatz , der bereits getan wurde . [ PERSON4 ] , richtig ? <EOS>	OK OK OK OK OK OK OK OK OK BAD BAD BAD OK OK OK OK BAD OK BAD BAD OK OK OK OK OK OK
en-de	gold	38	Die Fluchfilterung, wurde sie auf Protokollen getestet?	Die Fluchfilterung , wurde sie auf Protokollen getestet ? <EOS>	OK BAD OK OK OK OK OK OK OK OK
en-de	gold	39	Ich glaube, das war es.	Ich glaube , das war es . <EOS>	OK OK OK OK OK OK OK OK
en-de	gold	40	Ja, ich glaube, es wurde auf Protokollen getestet.	Ja , ich glaube , es wurde auf Protokollen getestet . <EOS>	BAD OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	41	Also, jetzt ist es Zeit, es auf den Live-Pipelines zu testen.	Also , jetzt ist es Zeit , es auf den Live-Pipelines zu testen . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	42	Und noch einmal, ich denke, es ist besser, wenn [PERSON8] erklärt, wie man es tut, so dass [PERSON4] es für sich selbst einige der Arbeiter läuft und live spielt etwas von der problematischen Datei wie die Verwendung von [Projekt8] oder was auch immer.	Und noch einmal , ich denke , es ist besser , wenn [ PERSON8 ] erklärt , wie man es tut , so dass [ PERSON4 ] es für sich selbst einige der Arbeiter läuft und live spielt etwas von der problematischen Datei wie die Verwendung von [ Projekt8 ] oder was auch immer . <EOS>	BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK BAD OK BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD BAD OK OK
en-de	gold	43	Spielen Sie sie einfach.	Spielen Sie sie einfach . <EOS>	OK OK OK OK OK OK
en-de	gold	44	Folgen Sie der Klangleistung Ihrer Maschine und sehen Sie, wie das funktioniert.	Folgen Sie der Klangleistung Ihrer Maschine und sehen Sie , wie das funktioniert . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	45	Denn nur bei der richtigen Einrichtung werden die wahren Fehler erscheinen.	Denn nur bei der richtigen Einrichtung werden die wahren Fehler erscheinen . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	46	Es ist wichtig, es zuerst zu debuggen, mit den Log-Dateien, und dann ist es wichtig es in der Pipeline zu depagen.	Es ist wichtig , es zuerst zu debuggen , mit den Log-Dateien , und dann ist es wichtig es in der Pipeline zu depagen . <EOS>	OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK
en-de	gold	47	Und wenn dieses Debuggen durch den Autor dieser Komponente gemacht werden kann, hier, in diesem Fall [PERSON4], wäre es am effizientesten für uns alle.	Und wenn dieses Debuggen durch den Autor dieser Komponente gemacht werden kann , hier , in diesem Fall [ PERSON4 ] , wäre es am effizientesten für uns alle . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	48	Also, [PERSON8], bestätigen Sie bitte, dass Sie dieser Idee der Do-it-yourself-Integration zustimmen.	Also , [ PERSON8 ] , bestätigen Sie bitte , dass Sie dieser Idee der Do-it-yourself-Integration zustimmen . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	49	(PERSON17) Ja, also für den Multi-Akzent Englisch.	( PERSON17 ) Ja , also für den Multi-Akzent Englisch . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	50	Also bringen wir [PERSON14] jetzt zu einer technischen Lösung zusammen.	Also bringen wir [ PERSON14 ] jetzt zu einer technischen Lösung zusammen . <EOS>	OK OK OK BAD OK OK OK OK OK OK OK OK OK OK
en-de	gold	51	Die aktuelle Idee, an der [PERSON14] arbeitet, ist, dass er neue Sätze mit Wörtern erstellt, die in anderen Sätzen gesprochen wurden, und er wird dies über verschiedene Sprecher hinweg tun.	Die aktuelle Idee , an der [ PERSON14 ] arbeitet , ist , dass er neue Sätze mit Wörtern erstellt , die in anderen Sätzen gesprochen wurden , und er wird dies über verschiedene Sprecher hinweg tun . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	52	Es werden also wirklich mehrsprachige Sätze sein, und daher könnte auch die Robustheit der verschiedenen Akzente dieser Sprecher verbessert werden.	Es werden also wirklich mehrsprachige Sätze sein , und daher könnte auch die Robustheit der verschiedenen Akzente dieser Sprecher verbessert werden . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	53	Das ist also ein Teilchen-Experiment.	Das ist also ein Teilchen-Experiment . <EOS>	OK OK OK OK OK OK OK
en-de	gold	54	Und später machen wir vielleicht etwas mehr über das Multi-Akzent-Ding.	Und später machen wir vielleicht etwas mehr über das Multi-Akzent-Ding . <EOS>	OK OK BAD OK OK OK OK OK OK OK OK OK
en-de	gold	55	Diese neuen Sätze werden also tatsächlich versuchen, zwei Probleme mit einem Experiment zu lösen.	Diese neuen Sätze werden also tatsächlich versuchen , zwei Probleme mit einem Experiment zu lösen . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	56	Ein Problem ist das implizite Sprachmodell.	Ein Problem ist das implizite Sprachmodell . <EOS>	OK OK OK OK OK OK OK OK
en-de	gold	57	Das ASR-System muss also den größtmöglichen Satz sehen.	Das ASR-System muss also den größtmöglichen Satz sehen . <EOS>	OK OK OK OK OK OK OK OK OK OK
en-de	gold	58	Und wir werden neue Sätze aus dem Text-only-Sprachmodell erstellen, indem wir den Klangteil hinzufügen, so dass das Sprachmodel besser für die ASR sein wird, und die Robustheit für verschiedene Sprecher auch besser sein würde.	Und wir werden neue Sätze aus dem Text-only-Sprachmodell erstellen , indem wir den Klangteil hinzufügen , so dass das Sprachmodel besser für die ASR sein wird , und die Robustheit für verschiedene Sprecher auch besser sein würde . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	59	Und in einem Vortrag gestern, hörte ich eine andere Idee.	Und in einem Vortrag gestern , hörte ich eine andere Idee . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	60	Es war während des Trainings.	Es war während des Trainings . <EOS>	OK OK OK OK OK OK OK
en-de	gold	61	Sie ließen Zeit- und Frequenzbänder aus dem Klang fallen.	Sie ließen Zeit- und Frequenzbänder aus dem Klang fallen . <EOS>	OK OK OK OK OK OK OK OK BAD OK OK
en-de	gold	62	Sie trainierten also über gestörte Eingaben, und das verbesserte auch die Robustheit des Systems.	Sie trainierten also über gestörte Eingaben , und das verbesserte auch die Robustheit des Systems . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	63	(PERSON3) Ich habe das starke Gefühl, dass unsere Arbeit nicht gerade im Bereich der Sprache liegt, sie ist ungesund.	( PERSON3 ) Ich habe das starke Gefühl , dass unsere Arbeit nicht gerade im Bereich der Sprache liegt , sie ist ungesund . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD OK OK
en-de	gold	64	Weil es hier keinen Begriff der Sprache gibt.	Weil es hier keinen Begriff der Sprache gibt . <EOS>	OK OK OK OK OK OK OK OK OK OK
en-de	gold	65	Wir arbeiten direkt an dem Text.	Wir arbeiten direkt an dem Text . <EOS>	OK OK OK OK OK OK OK OK
en-de	gold	66	Aber die Sache ist, daß der Vorschlag für einen statistischen Workshop in diesem Jahr abgelaufen ist. Er fand im September statt, was für uns zu früh war.	Aber die Sache ist , daß der Vorschlag für einen statistischen Workshop in diesem Jahr abgelaufen ist . Er fand im September statt , was für uns zu früh war . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	67	Und der nächste Vorschlag würde für 2022 kommen, was für uns zu spät wäre.	Und der nächste Vorschlag würde für 2022 kommen , was für uns zu spät wäre . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	68	Es ist besser, wenn wir eine der beiden Sektile oder Interspeech bekommen, weil beide in der Gemeinschaft gut anerkannt sind.	Es ist besser , wenn wir eine der beiden Sektile oder Interspeech bekommen , weil beide in der Gemeinschaft gut anerkannt sind . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	69	Wir können die Teilnehmer motivieren, sich zu unterwerfen.	Wir können die Teilnehmer motivieren , sich zu unterwerfen . <EOS>	OK OK OK OK OK OK OK OK BAD OK OK
en-de	gold	70	Der einzige Vorbehalt, den ich jetzt bei Interspeech finde, ist, dass sie uns keinen Raum in den Verfahren gewähren, was einige der Teilnehmer abschrecken könnte, ich bin nicht sicher, wie sehr sie sich freuen werden, ein Papier im Archiv zu veröffentlichen.	Der einzige Vorbehalt , den ich jetzt bei Interspeech finde , ist , dass sie uns keinen Raum in den Verfahren gewähren , was einige der Teilnehmer abschrecken könnte , ich bin nicht sicher , wie sehr sie sich freuen werden , ein Papier im Archiv zu veröffentlichen . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK
en-de	gold	71	Also, in Archiven können die Leute jederzeit veröffentlichen, richtig?	Also , in Archiven können die Leute jederzeit veröffentlichen , richtig ? <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	72	Das ist also kein Vorteil für ihre Profile.	Das ist also kein Vorteil für ihre Profile . <EOS>	OK OK OK OK OK OK OK OK OK OK
en-de	gold	73	Also wie man die Teilnehmer motiviert, sich unserer gemeinsamen Aufgabe anzuschließen.	Also wie man die Teilnehmer motiviert , sich unserer gemeinsamen Aufgabe anzuschließen . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	74	Das war der Grund, weshalb ich mich besonders für die Sondersitzung eingesetzt habe.	Das war der Grund , weshalb ich mich besonders für die Sondersitzung eingesetzt habe . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	75	Aber diesmal, das Problem ist, was ich verstehen kann, ist das letzte Mal, die Zeiträume zwischen den Vorschlägen, der Einreichung und der endgültigen Papiersendung waren fünf Monate, so dass es genügend Zeit für unseren Zeitplan gewesen wäre, aber dieses Mal.	Aber diesmal , das Problem ist , was ich verstehen kann , ist das letzte Mal , die Zeiträume zwischen den Vorschlägen , der Einreichung und der endgültigen Papiersendung waren fünf Monate , so dass es genügend Zeit für unseren Zeitplan gewesen wäre , aber dieses Mal . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	76	Es sind nur drei Monate.	Es sind nur drei Monate . <EOS>	OK OK OK OK OK OK OK
en-de	gold	77	(PERSON2) Ja, wenn es einen kurzen Kontext hat und weil ich Entscheidungen treffen, die auf sehr kurze Kontexte für diese sehr geringe Latenz basieren, dann verbindet es sich wirklich zu etwas, das in, zum Beispiel, einer Sekunde oder zwei, es herausfindet, oh, nun, eigentlich war das eine schlechte Übersetzung.	( PERSON2 ) Ja , wenn es einen kurzen Kontext hat und weil ich Entscheidungen treffen , die auf sehr kurze Kontexte für diese sehr geringe Latenz basieren , dann verbindet es sich wirklich zu etwas , das in , zum Beispiel , einer Sekunde oder zwei , es herausfindet , oh , nun , eigentlich war das eine schlechte Übersetzung . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	78	Es versucht also, eine andere Formulierung zu verwenden.	Es versucht also , eine andere Formulierung zu verwenden . <EOS>	OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	79	Zum Beispiel, um das Ding zu spezifizieren.	Zum Beispiel , um das Ding zu spezifizieren . <EOS>	OK OK OK OK OK OK OK OK OK OK
en-de	gold	80	Eigentlich hat es mir gefallen.	Eigentlich hat es mir gefallen . <EOS>	OK OK OK OK OK OK OK
en-de	gold	81	Ich mag einige der Übersetzungen.	Ich mag einige der Übersetzungen . <EOS>	OK OK OK OK OK OK OK
en-de	gold	82	Ich war wirklich erstaunt, obwohl man sehen konnte, dass das Modell beim ersten Versuch Fehler gemacht hat, wollte es wirklich eine Art Korrektur vornehmen.	Ich war wirklich erstaunt , obwohl man sehen konnte , dass das Modell beim ersten Versuch Fehler gemacht hat , wollte es wirklich eine Art Korrektur vornehmen . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD BAD BAD BAD BAD BAD BAD OK OK
en-de	gold	83	Und es klang definitiv sehr fließend, was ich auch für wichtig halte.	Und es klang definitiv sehr fließend , was ich auch für wichtig halte . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	84	Wenn Sie wirklich eine geringe Latenz verlangen, dann denke ich, dass auch eine etwas niedrigere Qualität in Ordnung ist, wenn die Fließfähigkeit gut ist.	Wenn Sie wirklich eine geringe Latenz verlangen , dann denke ich , dass auch eine etwas niedrigere Qualität in Ordnung ist , wenn die Fließfähigkeit gut ist . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK BAD OK OK OK OK
en-de	gold	85	Denn wenn man schlechte Übersetzungsqualität und Schlechtigkeit hat, dann denke ich, dass die Übersetzung einfach sinnlos ist.	Denn wenn man schlechte Übersetzungsqualität und Schlechtigkeit hat , dann denke ich , dass die Übersetzung einfach sinnlos ist . <EOS>	OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	86	Aber wenn die niedrigere Qualität ist, weil die Übersetzung, wenn Sie alles lesen, dass Sie die gleichen Informationen erhalten, aber die Formulierung ist nur schlecht, denn es verwendet, zum Beispiel, mehr Wörter und es benutzt einige Korrekturen und Sachen.	Aber wenn die niedrigere Qualität ist , weil die Übersetzung , wenn Sie alles lesen , dass Sie die gleichen Informationen erhalten , aber die Formulierung ist nur schlecht , denn es verwendet , zum Beispiel , mehr Wörter und es benutzt einige Korrekturen und Sachen . <EOS>	OK OK OK BAD BAD OK OK OK BAD OK OK OK OK OK OK OK BAD OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	87	Also, ich denke, das ist völlig in Ordnung für gleichzeitig, solange Sie keine Informationen verlieren.	Also , ich denke , das ist völlig in Ordnung für gleichzeitig , solange Sie keine Informationen verlieren . <EOS>	OK OK OK OK OK OK OK OK OK OK BAD BAD OK OK OK OK OK OK OK OK
en-de	gold	88	Und für welche Sprachpaare haben Sie diese Ergebnisse, wie einige Beispiele?	Und für welche Sprachpaare haben Sie diese Ergebnisse , wie einige Beispiele ? <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK OK OK
en-de	gold	89	Weil ich es gerne anschauen würde, nur aus Neugier.	Weil ich es gerne anschauen würde , nur aus Neugier . <EOS>	OK OK OK OK OK OK OK OK OK OK OK OK
