index	original	translation	scores	mean	z_scores	z_mean
10	Modinagar railway station (code: MDNR) is a main railway station in Ghaziabad district, Uttar Pradesh.	मोदीनगर रेलवे स्टेशन (कोडः MDNR) उत्तर प्रदेश के गाजियाबाद जिले में एक मुख्य रेलवे स्टेशन है।	[95, 95, 88, 88]	91.5	[0.539888771918306, 0.6254510232064127, 1.5645886871344867, 1.2732607766975914]	1.000797314739199
11	Both young woman suffered abuse from their husbands and in-laws.	दोनों युवतियों को अपने पतियों और ससुराल वालों से दुर्व्यवहार झेलना पड़ा।	[100, 85, 78, 78]	85.25	[0.953687239391003, -0.2116086973589154, 0.5300912601311706, 0.3356213392204049]	0.40194778534591574
12	In marine environments, photodegraded plastic disintegrates into ever-smaller pieces while remaining polymers, even down to the molecular level.	समुद्री वातावरण में, फोटोडिग्रेडेड प्लास्टिक पॉलिमर रहते हुए आणविक स्तर तक भी छोटे टुकड़ों में विघटित हो जाता है।	[90, 90, 80, 80]	85.0	[0.12609030444560904, 0.2069211629237486, 0.7369907455318339, 0.5231492267158422]	0.3982878599042584
13	Sleep timing is controlled by the circadian clock (Process C), sleep-wake homeostasis (Process S), and to some extent by the individual will.	नींद का समय सर्केडियन घड़ी (प्रोसेस सी), स्लीप-वेक होमियोस्टैसिस (प्रोसेस एस) और कुछ हद तक व्यक्तिगत इच्छा द्वारा नियंत्रित होता है।	[95, 95, 70, 70]	82.5	[0.539888771918306, 0.6254510232064127, -0.29750668147148224, -0.4144902107613443]	0.11333572572297304
14	Smart Lander for Investigating Moon (SLIM) is a lunar lander being developed by the Japan Aerospace Exploration Agency (JAXA).	स्मार्ट लैंडर फॉर इन्वेस्टिगेटिंग मून (एसएलआईएम) जापान एयरोस्पेस एक्सप्लोरेशन एजेंसी (जेएएक्सए) द्वारा विकसित किया जा रहा एक चंद्र लैंडर है।	[95, 95, 65, 65]	80.0	[0.539888771918306, 0.6254510232064127, -0.8147553949731403, -0.8833099294999376]	-0.13318138233708982
15	The design criteria, performance (specified by package testing), completion time targets, resources, and cost constraints need to be established and agreed upon.	डिजाइन मानदंड, प्रदर्शन (पैकेज परीक्षण द्वारा निर्दिष्ट), पूरा होने के समय के लक्ष्य, संसाधन और लागत की बाधाओं को स्थापित करने और उन पर सहमति बनाने की आवश्यकता है।	[90, 90, 76, 85]	85.25	[0.12609030444560904, 0.2069211629237486, 0.3231917747305074, 0.9919689454544354]	0.41204304688857507
16	"In his book, Language, Truth and Logic, Ayer suggested a protocol to distinguish between a conscious man and an unconscious machine: ""The only ground I can have for asserting that an object which appears to be conscious is not really a conscious being, but only a dummy or a machine, is that it fails to satisfy one of the empirical tests by which the presence or absence of consciousness is determined."""	"""अपनी पुस्तक, लैंग्वेज, ट्रुथ एंड लॉजिक में, आयर ने एक सचेत व्यक्ति और एक अचेतन मशीन के बीच अंतर करने के लिए एक प्रोटोकॉल का सुझाव दियाः"" ""मेरे पास इस बात पर जोर देने के लिए एकमात्र आधार है कि एक वस्तु जो सचेत प्रतीत होती है वह वास्तव में एक सचेत व्यक्ति नहीं है, बल्कि केवल एक डमी या एक मशीन है, यह एक अनुभवजन्य परीक्षणों में से एक को संतुष्ट करने में विफल है जिसके द्वारा चेतना की उपस्थिति या अनुपस्थिति निर्धारित होती है।"""	[90, 90, 64, 80]	81.0	[0.12609030444560904, 0.2069211629237486, -0.9182051376734719, 0.5231492267158422]	-0.015511110897068026
17	David Scott negotiated for the surrender of the leader of the Khasi resistance, Tirot Sing, who was then taken to Dacca (present-day Dhaka) for detention.	डेविड स्कॉट ने खासी प्रतिरोध के नेता, तिरोट सिंग के आत्मसमर्पण के लिए बातचीत की, जिन्हें तब हिरासत में लेने के लिए ढाका (वर्तमान ढाका) ले जाया गया था।	[90, 90, 78, 82]	85.0	[0.12609030444560904, 0.2069211629237486, 0.5300912601311706, 0.7106771142112794]	0.3934449604279519
18	The airport is named after Maharana Pratap who was a Maharana (ruler) of the princely state of Mewar, in north-western India.	हवाई अड्डे का नाम महाराणा प्रताप के नाम पर रखा गया है, जो उत्तर-पश्चिमी भारत में मेवाड़ रियासत के महाराणा (शासक) थे।	[95, 95, 79, 87]	89.0	[0.539888771918306, 0.6254510232064127, 0.6335410028315023, 1.1794968329498727]	0.7445944077265234
19	Protesters were instead concerned with a variety of other issues.	इसके बजाय प्रदर्शनकारी कई अन्य मुद्दों से चिंतित थे।	[100, 85, 69, 76]	82.5	[0.953687239391003, -0.2116086973589154, -0.4009564241718138, 0.1480934517249676]	0.12230389239631034
20	Hodal, Palwal, Vrindavan, Mathura are the cities nearby Kotwan.	होडल, पलवल, वृंदावन, मथुरा निकटवर्ती शहर हैं।	[45, 50, 81, 61]	59.25	[-3.5980959028086636, -3.1413177193375637, 0.8404404882321654, -1.258365704490812]	-1.7893347096012184
21	"The Musahiban family started with his older brother, Sultan Mohammad Khan, nicknamed ""Telai"", meaning ""golden"", a nickname he was given because of his love of fine clothing."	मुसाहिबान परिवार की शुरुआत उनके बड़े भाई सुल्तान मोहम्मद खान से हुई, जिनका उपनाम तेलाई था, जिसका अर्थ है सुनहरा, यह उपनाम उन्हें उनके अच्छे कपड़ों के प्यार के कारण दिया गया था।	[90, 90, 79, 76]	83.75	[0.12609030444560904, 0.2069211629237486, 0.6335410028315023, 0.1480934517249676]	0.2786614804814569
22	He also served as the chairman of Governing body of Ramjas College, University of Delhi, after the death of its Founder Shri Rai Kedarnath.	उन्होंने रामजस कॉलेज, दिल्ली विश्वविद्यालय के संस्थापक श्री राय केदारनाथ के निधन के बाद इसके गवर्निंग बॉडी के अध्यक्ष के रूप में भी कार्य किया।	[95, 95, 87, 92]	92.25	[0.539888771918306, 0.6254510232064127, 1.4611389444341552, 1.648316551688466]	1.068698822811835
23	Raghunathpur is a village in Uttar Pradesh, India.	रघुनाथपुर (Raghunathpur) भारत के उत्तर प्रदेश राज्य के झाँसी ज़िले में स्थित एक गाँव है।	[55, 60, 65, 70]	62.5	[-2.77049896786327, -2.3042579987722354, -0.8147553949731403, -0.4144902107613443]	-1.5760006430924973
24	"Miami citizens began a campaign to label the buildings as ""historic""."	"""मियामी के नागरिकों ने इमारतों को"" ""ऐतिहासिक"" ""के रूप में लेबल करने के लिए एक अभियान शुरू किया।"""	[70, 70, 84, 84]	77.0	[-1.529103565445179, -1.4671982782069075, 1.1507897163331602, 0.8982050017067168]	-0.23682678140305244
25	Work by scientist Menna Jones and a group of conservation volunteers to remove dead animals from the road resulted in a significant reduction in devil traffic deaths.	वैज्ञानिक मेन्ना जोन्स और संरक्षण स्वयंसेवकों के एक समूह द्वारा मृत पशुओं को सड़क से हटाने के कार्य के परिणामस्वरूप डैविल यातायात में होने वाली मौतों में उल्लेखनीय कमी आई है।	[50, 45, 79, 83]	64.25	[-3.1842974353359668, -3.5598475796202274, 0.6335410028315023, 0.8044410579589981]	-1.3265407385414234
26	His technical innovations and enormous influence left a lasting legacy.	उनके तकनीकी नवाचारों और व्यापक प्रभाव ने एक स्थायी विरासत छोड़ी है।	[95, 90, 66, 81]	83.0	[0.539888771918306, 0.2069211629237486, -0.7113056522728086, 0.6169131704635609]	0.1631043632582017
27	"Krishna Iyer, a former Supreme Court judge, said that either the Bhushans should be punished for making ""false charges"" or an independent authority should be set up to scrutinise their allegations."	उच्चतम न्यायालय के पूर्व न्यायाधीश कृष्णा अय्यर ने कहा कि या तो झूठे आरोप लगाने के लिए भूषण को दंडित किया जाना चाहिए या उनके आरोपों की जांच के लिए एक स्वतंत्र प्राधिकरण का गठन किया जाना चाहिए।	[95, 95, 68, 68]	81.5	[0.539888771918306, 0.6254510232064127, -0.5044061668721455, -0.6020180982567815]	0.01472888249894791
28	Meanwhile, Barfi's father falls ill and Barfi must somehow raise the money for his treatment.	इस बीच, बर्फी के पिता बीमार हो जाते हैं और बर्फी को किसी तरह अपने इलाज के लिए पैसे जुटाने पड़ते हैं।	[75, 95, 67, 67]	76.0	[-1.115305097972482, 0.6254510232064127, -0.607855909572477, -0.6957820420045002]	-0.4483730065857616
29	Symbian OS is a descendant of Psion's EPOC, and was released exclusively on ARM processors, although an unreleased x86 port existed.	सिम्बियन ओएस प्सियन के ईपीओसी का एक वंशज है और इसे विशेष रूप से एआरएम प्रोसेसरों पर जारी किया गया था, हालांकि एक अप्रकाशित एक्स86 पोर्ट मौजूद था।	[50, 50, 80, 92]	68.0	[-3.1842974353359668, -3.1413177193375637, 0.7369907455318339, 1.648316551688466]	-0.9850769643633075
30	The U.S. National Comprehensive Cancer Network and American Society of Clinical Oncology provide guidelines for the follow-up of colon cancer.	यूएस नेशनल कॉम्प्रिहेंसिव कैंसर नेटवर्क और अमेरिकन सोसाइटी ऑफ क्लिनिकल ऑन्कोलॉजी कोलोन कैंसर के अनुवर्ती के लिए दिशानिर्देश प्रदान करते हैं।	[70, 95, 85, 67]	79.25	[-1.529103565445179, 0.6254510232064127, 1.254239459033492, -0.6957820420045002]	-0.08629878130244364
31	He advises Rama to pray to the Sea God.	वे राम को समुद्र देवता की पूजा करने की सलाह देते हैं।	[100, 95, 80, 79]	88.5	[0.953687239391003, 0.6254510232064127, 0.7369907455318339, 0.4293852829681235]	0.6863785727743432
32	Early in his career, Schmidt held a series of technical positions with IT companies including Byzromotti Design, Bell Labs (in research and development), Zilog, and Palo Alto Research Center (PARC).	अपने कैरियर की शुरुआत में, श्मिट ने बाइज़रोमोती डिजाइन, बेल लैब्स (अनुसंधान और विकास में), जिलाग और पालो अल्टो रिसर्च सेंटर (पीएआरसी) सहित आईटी कंपनियों के साथ कई तकनीकी पदों पर काम किया।	[90, 90, 66, 65]	77.75	[0.12609030444560904, 0.2069211629237486, -0.7113056522728086, -0.8833099294999376]	-0.3154010286008472
33	"At a press conference the day before the match, Porterfield said that ""a lot of people have devoted a lot of their lives to make this happen"" and that ""it is going to be a pretty special occasion""."	"""मैच से एक दिन पहले एक संवाददाता सम्मेलन में, पोर्टरफील्ड ने कहा कि"" ""बहुत से लोगों ने अपने जीवन को इसके लिए समर्पित कर दिया है"" ""और यह"" ""एक बहुत ही विशेष अवसर होने जा रहा है।"""	[85, 85, 83, 76]	82.25	[-0.28770816302708796, -0.2116086973589154, 1.0473399736328286, 0.1480934517249676]	0.1740291412429482
34	The MCU is the shared universe in which all of the films are set.	एमसीयू साझा ब्रह्मांड है जिसमें सभी फिल्मों को सेट किया गया है।	[95, 95, 94, 94]	94.5	[0.539888771918306, 0.6254510232064127, 2.1852871433364762, 1.8358444391839033]	1.2966178444112746
35	In other definitions computer architecture involves instruction set architecture design, microarchitecture design, logic design, and implementation.	अन्य परिभाषाओं में कंप्यूटर आर्किटेक्चर में अनुदेश सेट आर्किटेक्चर डिजाइन, माइक्रोआर्किटेक्चर डिजाइन, तर्क डिजाइन और कार्यान्वयन शामिल हैं।	[90, 90, 77, 77]	83.5	[0.12609030444560904, 0.2069211629237486, 0.426641517430839, 0.24185739547268623]	0.2503775950682207
36	T-Series acquired the music rights for The Dirty Picture.	टी-सीरीज ने द डर्टी पिक्चर के संगीत अधिकार खरीदे हैं।	[80, 80, 55, 76]	72.75	[-0.7015066304997849, -0.6301385576415794, -1.8492528219764564, 0.1480934517249676]	-0.7582011395982132
37	Before the start of the tournament, Karachians changed their name to Sindhis after a Pakistan court order had objected to their title, citing a clash of identity with the Pakistan Super League team Karachi Kings.	टूर्नामेंट की शुरुआत से पहले, कराची के लोगों ने पाकिस्तान सुपर लीग टीम कराची किंग्स के साथ पहचान के संघर्ष का हवाला देते हुए अपने शीर्षक पर आपत्ति जताने के बाद अपना नाम बदलकर सिंधी कर लिया।	[75, 70, 67, 67]	69.75	[-1.115305097972482, -1.4671982782069075, -0.607855909572477, -0.6957820420045002]	-0.9715353319390917
38	Radiobiology (also known as radiation biology, and uncommonly as actinobiology) is a field of clinical and basic medical sciences that involves the study of the action of ionizing radiation on living things, especially health effects of radiation.	रेडियोबायोलॉजी (विकिरण जीव विज्ञान के रूप में भी जाना जाता है, और असामान्य रूप से एक्टिनोबायोलॉजी के रूप में भी जाना जाता है) नैदानिक और बुनियादी चिकित्सा विज्ञान का एक क्षेत्र है जिसमें जीवित चीजों, विशेष रूप से विकिरण के स्वास्थ्य प्रभावों पर आयनकारी विकिरण की कार्रवाई का अध्ययन शामिल है।	[95, 95, 78, 76]	86.0	[0.539888771918306, 0.6254510232064127, 0.5300912601311706, 0.1480934517249676]	0.46088112674521425
39	A Cauchy problem in mathematics asks for the solution of a partial differential equation that satisfies certain conditions that are given on a hypersurface in the domain.	गणित में कौशी समस्या एक आंशिक विभेदक समीकरण के समाधान के लिए पूछती है जो डोमेन में एक हाइपरसर्फेस पर दी गई कुछ शर्तों को संतुष्ट करती है।	[90, 90, 82, 76]	84.5	[0.12609030444560904, 0.2069211629237486, 0.943890230932497, 0.1480934517249676]	0.3562487875067056
40	Human sexual activity, human sexual practice or human sexual behaviour is the manner in which humans experience and express their sexuality.	मानव यौन गतिविधि, मानव यौन अभ्यास या मानव यौन व्यवहार वह तरीका है जिसमें मनुष्य अपनी कामुकता का अनुभव करता है और व्यक्त करता है।	[70, 75, 65, 80]	72.5	[-1.529103565445179, -1.0486684179242434, -0.8147553949731403, 0.5231492267158422]	-0.7173445379066802
41	The spacecraft carried no instruments for measuring structural loads as the capsule's boilerplate structure did not represent that of a real spacecraft.	अंतरिक्ष यान में संरचनात्मक भार को मापने के लिए कोई उपकरण नहीं था क्योंकि कैप्सूल की बॉयलरप्लेट संरचना वास्तविक अंतरिक्ष यान का प्रतिनिधित्व नहीं करती थी।	[95, 95, 67, 67]	81.0	[0.539888771918306, 0.6254510232064127, -0.607855909572477, -0.6957820420045002]	-0.034574539113064656
42	Leading northeast from the lake, the wide and well-maintained Groom Lake Road runs through a pass in the Jumbled Hills.	झील से उत्तर-पूर्व की ओर जाने वाली चौड़ी और अच्छी तरह से अनुरक्षित ग्रूम लेक रोड झम्बल हिल्स में एक दर्रे से होकर गुजरती है।	[70, 70, 65, 65]	67.5	[-1.529103565445179, -1.4671982782069075, -0.8147553949731403, -0.8833099294999376]	-1.1735917920312913
43	"Remarking upon State Farm's pullout from Florida, Ted Corless, a property insurance attorney who has represented large insurance carriers like Nationwide, noted ""that homeowners are really going to have to look out for themselves""."	फ्लोरिडा से स्टेट फार्म के हटने पर टिप्पणी करते हुए, नेशनवाइड जैसे बड़े बीमा वाहकों का प्रतिनिधित्व करने वाले एक प्रॉपर्टी इंश्योरेंस अटॉर्नी, टेड कोरलेस ने कहा कि घर के मालिकों को वास्तव में खुद का ध्यान रखना होगा।	[95, 95, 67, 67]	81.0	[0.539888771918306, 0.6254510232064127, -0.607855909572477, -0.6957820420045002]	-0.034574539113064656
44	Umri is a town and a nagar panchayat in Jalaun district in the Indian state of Uttar Pradesh.	उमरी (Umri) भारत के उत्तर प्रदेश राज्य के जालौन ज़िले में स्थित एक नगर है।	[50, 50, 86, 86]	68.0	[-3.1842974353359668, -3.1413177193375637, 1.3576892017338236, 1.085732889202154]	-0.9705482659343883
45	Another reason for prevention is to avoid medication overuse headache.	रोकथाम का एक अन्य कारण दवा के अत्यधिक उपयोग वाले सिरदर्द से बचना है।	[100, 90, 78, 60]	82.0	[0.953687239391003, 0.2069211629237486, 0.5300912601311706, -1.3521296482385308]	0.08464250355184783
46	Music therapy services rendered within the context of a social service, educational, or health care agency are often reimbursable by insurance or other sources of funding for individuals with certain needs.	सामाजिक सेवा, शैक्षिक या स्वास्थ्य देखभाल एजेंसी के संदर्भ में प्रदान की जाने वाली संगीत चिकित्सा सेवाओं की प्रतिपूर्ति अक्सर बीमा या धन के अन्य स्रोतों द्वारा निश्चित आवश्यकताओं वाले व्यक्तियों के लिए की जाती है।	[95, 95, 67, 72]	82.25	[0.539888771918306, 0.6254510232064127, -0.607855909572477, -0.226962323265907]	0.08263039057158364
47	He has participated in seminars to deliver plenary/invited addresses, was a member of the Indian delegation at the Indo-German Symposium on Frontiers of Chemistry organized by the Indian Institute of Technology, Kanpur and is a member of the editorial board of the Asian Journal of Organic Chemistry.	उन्होंने पूर्ण/आमंत्रित संबोधन देने के लिए सेमिनारों में भाग लिया है, वे भारतीय प्रौद्योगिकी संस्थान, कानपुर द्वारा आयोजित इंडो-जर्मन सिम्पोजियम ऑन फ्रंटियर्स ऑफ केमिस्ट्री में भारतीय प्रतिनिधिमंडल के सदस्य थे और एशियन जर्नल ऑफ ऑर्गेनिक केमिस्ट्री के संपादकीय बोर्ड के सदस्य हैं।	[90, 90, 74, 72]	81.5	[0.12609030444560904, 0.2069211629237486, 0.1162922893298442, -0.226962323265907]	0.0555853583583237
48	The temple, tower has been partially restored.	मंदिर, टॉवर को आंशिक रूप से बहाल किया गया है।	[85, 80, 87, 69]	80.25	[-0.28770816302708796, -0.6301385576415794, 1.4611389444341552, -0.508254154509063]	0.008759517314106208
49	If the bowler has conceded a no-ball or a wide, his team incurs an additional penalty because that ball (i.e., delivery) has to be bowled again and hence the batting side has the opportunity to score more runs from this extra ball.	यदि कोई गेंदबाज नो बॉल या वाइड फेंकता है, तो उसकी टीम को अतिरिक्त जुर्माना भरना पड़ता है क्योंकि उस गेंद (यानी, डिलीवरी) को फिर से फेंकना पड़ता है और इसलिए बल्लेबाजी पक्ष के पास इस अतिरिक्त गेंद से अधिक रन बनाने का अवसर होता है।	[95, 95, 72, 91]	88.25	[0.539888771918306, 0.6254510232064127, -0.09060719607081902, 1.5545526079407472]	0.6573213017486617
50	"The term is translated as ""Mother, Motherland, and People""."	इस शब्द का अनुवाद 'मां, मातृभूमि और लोग' के रूप में किया जाता है।	[85, 95, 78, 72]	82.5	[-0.28770816302708796, 0.6254510232064127, 0.5300912601311706, -0.226962323265907]	0.16021794926114707
51	"Al-Kattani said: ""The Jamiʿ of at-Tirmidhi is also named The Sunan, contrary to those thinking them to be two separate books, and [it is also named] Al-Jamiʿ al-Kabir."	अल-कत्तानी ने कहाः “जमीयत-तिर्मिधि के जमीयत-इस्लामी को भी सुनान नाम दिया गया है, जो लोग उन्हें दो अलग-अलग किताबें मानते हैं, और (इसका नाम) अल-जमीयत-इस्लामी अल-कबीर भी है।	[25, 30, 69, 81]	51.25	[-5.253289772699452, -4.815437160468219, -0.4009564241718138, 0.6169131704635609]	-2.4631925467189806
52	In the same vein, CEMS has also signed the PRME (Principles for Responsible Management Education) declaration.	इसी तरह सीईएमएस ने पीआरएमई (प्रिंसिपल्स फॉर रेस्पोंसिबल मैनेजमेंट एजुकेशन) घोषणा पत्र पर भी हस्ताक्षर किए हैं।	[95, 95, 89, 89]	92.0	[0.539888771918306, 0.6254510232064127, 1.6680384298348183, 1.36702472044531]	1.0501007363512118
53	DRI is the major intelligence agency which enforces the prohibition of the smuggling of items including drugs, gold, diamonds, electronics, foreign currency, and counterfeit Indian currency.	डीआरआई एक प्रमुख खुफिया एजेंसी है जो ड्रग्स, सोना, हीरे, इलेक्ट्रॉनिक्स, विदेशी मुद्रा और नकली भारतीय मुद्रा सहित वस्तुओं की तस्करी पर प्रतिबंध लगाती है।	[95, 95, 77, 76]	85.75	[0.539888771918306, 0.6254510232064127, 0.426641517430839, 0.1480934517249676]	0.4350186910701313
54	It is divided into 100 tambala.	यह 100 तम्बालों में विभाजित है।	[100, 90, 92, 68]	87.5	[0.953687239391003, 0.2069211629237486, 1.978387657935813, -0.6020180982567815]	0.6342444904984458
55	Its characteristics are similar to those of the petroplastic polypropylene.	इसकी विशेषताएं पेट्रोप्लास्टिक पॉलीप्रोपिलीन के समान हैं।	[90, 90, 75, 84]	84.75	[0.12609030444560904, 0.2069211629237486, 0.2197420320301758, 0.8982050017067168]	0.36273962527656256
56	The plan was to then seize control of a Santiago radio station, broadcasting the Movement's manifesto, hence promoting further uprisings.	योजना तब एक सैंटियागो रेडियो स्टेशन का नियंत्रण हथियाने, आंदोलन के घोषणापत्र का प्रसारण करने की थी, जिससे आगे विद्रोह को बढ़ावा दिया जा सके।	[85, 85, 67, 70]	76.75	[-0.28770816302708796, -0.2116086973589154, -0.607855909572477, -0.4144902107613443]	-0.38041574517995613
57	In Australia, there are three categories of homelessness which include those who live from one emergency shelter to another (in homeless shelters or 'couch surfing' at friends' homes) as well as those living in accommodation that falls below minimum community standards (boarding houses and caravan parks).	ऑस्ट्रेलिया में, बेघर की तीन श्रेणियां हैं जिनमें वे लोग शामिल हैं जो एक आपातकालीन आश्रय से दूसरे में रहते हैं (बेघर आश्रय स्थलों में या दोस्तों के घरों में 'काउच सर्फिंग' करते हैं) और साथ ही वे लोग जो न्यूनतम सामुदायिक मानकों (बोर्डिंग हाउस और कारवां पार्क) से नीचे रहने वाले आवास में रहते हैं।	[90, 90, 83, 75]	84.5	[0.12609030444560904, 0.2069211629237486, 1.0473399736328286, 0.05432950797724894]	0.3586702372448588
58	Alexandria has a long history of foreign educational institutions.	अलेक्जेंड्रिया का विदेशी शिक्षण संस्थानों का एक लंबा इतिहास रहा है।	[90, 50, 78, 71]	72.25	[0.12609030444560904, -3.1413177193375637, 0.5300912601311706, -0.32072626701362567]	-0.7014656054436024
59	"Earlier that day, the intersection of Tremont and Avery streets was temporarily renamed ""The Town Take 2 Place"" in a small ceremony, attended by Welliver and Boston city officials."	उस दिन से पहले, एक छोटे से समारोह में 'द टाउन टेक 2 प्लेस' का अस्थायी रूप से नामकरण किया गया था, जिसमें वेलिवर और बोस्टन शहर के अधिकारियों ने भाग लिया था।	[50, 50, 75, 79]	63.5	[-3.1842974353359668, -3.1413177193375637, 0.2197420320301758, 0.4293852829681235]	-1.4191219599188076
60	The majority of birds-of-paradise live in tropical forests, including rainforest, swamps and moss forest, nearly all of them solitary tree dwellers.	बर्ड ऑफ पैराडाइज के अधिकांश पक्षी उष्णकटिबंधीय वनों में रहते हैं, जिनमें वर्षावन, दलदल और मॉस वन शामिल हैं, जिनमें से लगभग सभी एकांत में रहते हैं।	[60, 50, 67, 87]	66.0	[-2.356700500390573, -3.1413177193375637, -0.607855909572477, 1.1794968329498727]	-1.231594324087685
61	Semra is a village in Gopalganj district (near Thawe) of Bihar state, India.	सेमरा (Semra) भारत के बिहार राज्य के गोपालगंज ज़िले में स्थित एक गाँव है।	[95, 95, 80, 80]	87.5	[0.539888771918306, 0.6254510232064127, 0.7369907455318339, 0.5231492267158422]	0.6063699418430987
62	Ali was able to provide support for the development of ornithology in India by identifying important areas where funding could be obtained.	अली उन महत्वपूर्ण क्षेत्रों की पहचान करके भारत में पक्षीविज्ञान के विकास के लिए समर्थन प्रदान करने में सक्षम थे जहां धन प्राप्त किया जा सकता था।	[90, 90, 80, 81]	85.25	[0.12609030444560904, 0.2069211629237486, 0.7369907455318339, 0.6169131704635609]	0.4217288458411881
63	The swimming competition was held in the open sea because the organizers had refused to spend the money necessary for a specially constructed stadium.	तैराकी प्रतियोगिता खुले समुद्र में आयोजित की गई थी क्योंकि आयोजकों ने विशेष रूप से निर्मित स्टेडियम के लिए आवश्यक धन खर्च करने से इनकार कर दिया था।	[95, 95, 79, 79]	87.0	[0.539888771918306, 0.6254510232064127, 0.6335410028315023, 0.4293852829681235]	0.557066520231086
64	She grew up in Dadar Parsi Colony in Mumbai.	उनका पालन-पोषण मुंबई की दादर पारसी कॉलोनी में हुआ।	[65, 65, 88, 30]	62.0	[-1.9429020329178759, -1.8857281384895714, 1.5645886871344867, -4.1650479606700905]	-1.6072723612357627
