mt_system	doc_id	seg_id	annotator_id	source	target	start_ids	end_ids	errors
metricsystem1	standard.co.uk.57834	27	rater1	"""If someone is following the law in relation to quarantine and self-isolating the way they should, they can't have penalties taken against them."""	«Если кто-то соблюдает закон в отношении карантина и самоизоляции, как следует, к нему не могут быть применены санкции».	-1	-1	no-error
metricsystem1	guardian.306616	1	rater1	"US ""failures"" are holding back search for coronavirus drugs"	«Провалы» США сдерживают поиск лекарств от коронавируса	-1	-1	no-error
metricsystem1	guardian.306616	2	rater1	"The global effort to produce useful anti-Covid medicines is being hampered by the US because researchers are testing drugs in ""an arbitrary, willy-nilly way,"" the expert leading the UK's programme has warned."	Глобальные усилия по производству полезных лекарств против Covid сдерживаются США, потому что исследователи тестируют лекарства «произвольным, волей-неволей», предупредил эксперт, возглавляющий программу Великобритании.	128	144	major
metricsystem1	guardian.306616	3	rater1	Britain's Recovery Trial programme, which has involved 12,000 patients at several hundred British hospitals, has already pinpointed one promising new drug to tackle the disease and also highlighted two others - previously thought to be potential life-savers - as being useless.	Британская программа Recovery Trial, в которой приняли участие 12 000 пациентов в нескольких сотнях британских больниц, уже определила одно многообещающее новое лекарство для борьбы с этой болезнью, а также выделила два других, которые ранее считались потенциальными спасителями, как бесполезные.	-1	-1	no-error
metricsystem1	guardian.306616	4	rater1	But the failure of the US medical system to match this output has meant that other promising treatments that could have been cleared for widespread use have still to be evaluated.	Но неспособность медицинской системы США соответствовать этим результатам означает, что другие многообещающие методы лечения, которые могли бы быть одобрены для широкого применения, еще предстоит оценить.	-1	-1	no-error
metricsystem1	guardian.306616	5	rater1	In particular, convalescent plasma (blood plasma that is taken from Covid-19 patients and which contains antibodies that could protect others against the disease) has still to be properly tested on a large-scale randomised trial.	В частности, реконвалесцентная плазма (плазма крови, взятая у пациентов с Covid-19 и содержащая антитела, которые могли бы защитить других от этой болезни) еще должна быть должным образом протестирована в крупномасштабном рандомизированном исследовании.	-1	-1	no-error
metricsystem1	guardian.306616	6	rater1	"""Tens of thousands of people have already been given convalescent plasma in the US but these treatments were not randomised,"" said Professor Martin Landray, one of the founders of the Recovery programme."	«Десятки тысяч людей уже получили реконвалесцентную плазму в США, но эти методы лечения не были рандомизированы», — сказал профессор Мартин Лэндрей, один из основателей программы «Выздоровление».	179 179	197 197	major major
metricsystem1	guardian.306616	7	rater1	"""They just give individuals convalescent plasma in the hope it will work. Vast quantities have been given and they still have no idea whether it helps or harms or has no impact,"" added Landray, an expert in the setting up of large-scale drug trials."	«Они просто дают людям реконвалесцентную плазму в надежде, что она подействует. Было дано огромное количество, и они до сих пор понятия не имеют, помогает ли она, вредит или не оказывает никакого влияния», — добавил Лэндрей, эксперт по организации крупномасштабных испытаний лекарств.	-1	-1	no-error
metricsystem1	guardian.306616	8	rater1	The US is failing to do large, randomised trials and that ends up providing bad medicine	США не проводят крупных рандомизированных исследований, что в конечном итоге приводит к плохой медицине.	95	106	major
metricsystem1	guardian.306616	9	rater1	Randomised drug trials are the gold standard for pinpointing useful medicines.	Рандомизированные испытания лекарств являются золотым стандартом для определения полезных лекарств.	-1	-1	no-error
metricsystem1	guardian.306616	10	rater1	They remove unconscious biases that might cloud clinicians' judgments.	Они устраняют бессознательные предубеждения, которые могут омрачить суждения врачей.	-1	-1	no-error
metricsystem1	guardian.306616	11	rater1	Thousands of people are given a drug and thousands of others are given a placebo.	Тысячи людей получают лекарство, а тысячи других получают плацебо.	-1	-1	no-error
metricsystem1	guardian.306616	12	rater1	No one knows which they have been given.	Никто не знает, что им дали.	-1	-1	no-error
metricsystem1	guardian.306616	13	rater1	Then results are compared and the efficacy of the treatment revealed.	Затем сравниваются результаты и выявляется эффективность лечения.	-1	-1	no-error
metricsystem1	guardian.306616	14	rater1	In this way, Recovery was able to demonstrate that the steroid dexamethasone reduced deaths by a third in Covid-19 patients on ventilators.	Таким образом, Recovery удалось продемонстрировать, что стероидный дексаметазон снизил смертность на треть среди пациентов с Covid-19, находящихся на ИВЛ.	-1	-1	no-error
metricsystem1	guardian.306616	15	rater1	It also showed that the much-hyped drug hydroxychloroquine - as well as the combined therapy of the drugs lopinavir and ritonavir - had no effect in saving patients' lives.	Он также показал, что разрекламированный препарат гидроксихлорохин, а также комбинированная терапия препаратами лопинавира и ритонавира не оказали влияния на спасение жизни пациентов.	-1	-1	no-error
metricsystem1	guardian.306616	16	rater1	Crucially these trials needed very large numbers of patients and no single hospital has enough for such research.	Крайне важно, чтобы эти испытания нуждались в очень большом количестве пациентов, и ни в одной больнице не было достаточного количества таких исследований.	0 14	15 22	major major
metricsystem1	guardian.306616	17	rater1	Britain has had one key advantage - a centralised National Health Service.	У Великобритании было одно ключевое преимущество — централизованная Национальная служба здравоохранения.	-1	-1	no-error
metricsystem1	guardian.306616	18	rater1	By contrast, the US health service is fragmented and its only success in pointing a possible treatment has been highlighting the usefulness of the highly expensive drug remdesivir for speeding recovery of some Covid-19 patients.	Напротив, служба здравоохранения США раздроблена, и ее единственный успех в определении возможного лечения заключается в подчеркивании полезности очень дорогого препарата ремдесивир для ускорения выздоровления некоторых пациентов с Covid-19.	0	11	major
metricsystem1	guardian.306616	19	rater1	"""There are lots and lots of small drugs trials involving a few dozen or a few hundred patients going on in the US but nothing of any substance,"" added Landray."	«В США проводится множество небольших испытаний лекарств с участием нескольких десятков или нескольких сотен пациентов, но ничего существенного», — добавил Лэндрей.	-1	-1	no-error
metricsystem1	guardian.306616	20	rater1	"""They are failing to do large, randomised trials and that ends up providing bad medicine. It makes the practice of medicine poorer and the outcomes for patients poorer."""	«Они не проводят крупных рандомизированных испытаний, и в результате получают плохие лекарства. Это ухудшает практику медицины и результаты для пациентов».	-1	-1	no-error
metricsystem1	guardian.306616	21	rater1	Landray said this failure was particularly exasperating when it came to the use of convalescent plasma, which many doctors believe could have a key role to play in treating seriously ill Covid-19 patients.	Лэндрей сказал, что эта неудача особенно раздражает, когда речь идет об использовании реконвалесцентной плазмы, которая, по мнению многих врачей, может сыграть ключевую роль в лечении тяжелобольных пациентов с Covid-19.	-1	-1	no-error
metricsystem1	guardian.306616	22	rater1	"""If you look at the US, huge quantities of this treatment have been used on an arbitrary willy-nilly basis. The UK excels beyond measure compared with what's going on there,"" he added."	«Если вы посмотрите на США, огромное количество этого лечения использовалось произвольно, волей-неволей. Великобритания превосходит все меры по сравнению с тем, что там происходит», — добавил он.	-1	-1	no-error
metricsystem1	guardian.306616	23	rater1	Professor Peter Horby, an expert on infectious diseases and the other founder of the Recovery programme, said:	Профессор Питер Хорби, эксперт по инфекционным заболеваниям и другой основатель программы «Восстановление», сказал:	90	109	major
metricsystem1	guardian.306616	24	rater1	"""There have been reports of 20,000 patients getting convalescent plasma in a cohort but none of those patients were randomised. If they had put these patients into randomised trials, we would now have a clear answer about the effectiveness of convalescent plasma."""	«Были сообщения о 20 000 пациентов, получавших реконвалесцентную плазму в когорте, но ни один из этих пациентов не был рандомизирован. Если бы они включили этих пациентов в рандомизированные испытания, у нас теперь был бы четкий ответ об эффективности реконвалесцентной плазмы».	-1	-1	no-error
metricsystem1	guardian.306616	25	rater1	Horby added that UK Recovery has now launched a randomised trial of convalescent plasma but does not expect results to be ready until later this year.	Хорби добавил, что UK Recovery запустила рандомизированное исследование реконвалесцентной плазмы, но не ожидает, что результаты будут готовы до конца этого года.	-1	-1	no-error
metricsystem1	upi.228777	1	rater1	Salmonella outbreak sickens 212 people in 23 states	Вспышка сальмонеллы заразила 212 человек в 23 штатах	-1	-1	no-error
metricsystem1	upi.228777	2	rater1	July 25 (UPI) -- The Centers for Disease Control and Prevention is investigating an outbreak of salmonella that has sickened 212 people in 23 states.	25 июля (UPI) — Центры по контролю и профилактике заболеваний расследуют вспышку сальмонеллы, от которой заболели 212 человек в 23 штатах.	-1	-1	no-error
metricsystem1	upi.228777	3	rater1	In a Friday press release the CDC reported that 87 people had become ill since its last update on the outbreak Tuesday.	В пятничном пресс-релизе CDC сообщил, что 87 человек заболели с момента его последнего обновления о вспышке во вторник.	-1	-1	no-error
metricsystem1	upi.228777	4	rater1	The agency said people began showing symptoms linked to a strain of salmonella, which can take two to four weeks to manifest symptoms, between June 19 and July 11.	Агентство сообщило, что у людей начали проявляться симптомы, связанные со штаммом сальмонеллы, которые могут проявиться от двух до четырех недель в период с 19 июня по 11 июля.	-1	-1	no-error
metricsystem1	upi.228777	5	rater1	Thirty-one people have been hospitalized since the outbreak began, but no fatalities have been reported.	С начала вспышки в больницу был госпитализирован 31 человек, о смертельных случаях не сообщалось.	17	30	major
metricsystem1	upi.228777	6	rater1	According to the CDC, a specific source for the salmonella strain has not been identified.	По данным CDC, конкретный источник штамма сальмонеллы не установлен.	-1	-1	no-error
metricsystem1	upi.228777	7	rater1	It has not issued any advisement against eating or consuming particular foods, nor named retailers that might be selling contaminated products.	Он не давал никаких рекомендаций против употребления в пищу определенных продуктов, а также не называл розничных продавцов, которые могли бы продавать зараженные продукты.	6 95	14 105	major major
metricsystem1	upi.228777	8	rater1	Oregon has had the most cases of salmonella, with 51 infections, with Utah following close behind with 40 reported cases.	В Орегоне было больше всего случаев сальмонеллы, с 51 инфекцией, за ней следует Юта с 40 зарегистрированными случаями.	-1	-1	no-error
metricsystem1	upi.228777	9	rater1	Salmonella is a bacterial, foodborne illness that causes 1.35 million infections, 26,500 hospitalizations, and 420 deaths each year, according to the CDC.	По данным CDC, сальмонелла — это бактериальная болезнь пищевого происхождения, которая вызывает 1,35 миллиона инфекций, 26 500 госпитализаций и 420 смертей в год.	-1	-1	no-error
metricsystem1	upi.228777	10	rater1	The most common symptoms of salmonella infection are diarrhea, fever, and stomach cramps, which can begin between six hours and six days after exposure.	Наиболее распространенными симптомами сальмонеллезной инфекции являются диарея, лихорадка и желудочные спазмы, которые могут начаться в период от шести часов до шести дней после заражения.	-1	-1	no-error
metricsystem1	upi.228777	11	rater1	The illness usually lasts four to seven days, and most people recover without treatment, but some cases require hospitalization.	Болезнь обычно длится от четырех до семи дней, и большинство людей выздоравливает без лечения, но в некоторых случаях требуется госпитализация.	-1	-1	no-error
metricsystem1	rt.com.131279	1	rater1	Couple MACED at California dog park for not wearing face masks while having lunch (VIDEO) - RT USA News	Пара MACED в калифорнийском собачьем парке за то, что не носила маски во время обеда (ВИДЕО)	5	13	major
metricsystem1	rt.com.131279	2	rater1	There's mask-shaming and then there's full on assault.	Есть стыд за маску, а есть полноценная атака.	5	12	major
metricsystem1	rt.com.131279	3	rater1	A California couple having lunch with their puppy at a dog park experienced the second, when an irate woman pepper-sprayed them for refusing to mask up... while eating.	Пара из Калифорнии, обедавшая со своим щенком в собачьем парке, пережила второй случай, когда разгневанная женщина распылила на них перцовый баллончик за отказ маскироваться... во время еды.	160	176	major
metricsystem1	rt.com.131279	4	rater1	Ash O'Brien and husband Jarett Kelley say they were grabbing a bite to eat at Dusty Rhodes dog park in San Diego on Thursday, with their three-month-old pug in tow.	Эш О'Брайен и ее муж Джаретт Келли говорят, что в четверг они перекусили в парке для собак Дасти Родос в Сан-Диего со своим трехмесячным мопсом на буксире.	-1	-1	no-error
metricsystem1	rt.com.131279	5	rater1	"The pair had their masks off to eat, when a ""random old lady"" approached, calling them ""idiots"" for not masking up, even though ""you can't wear a mask and eat at the same time."""	Пара сняла маски, чтобы поесть, когда подошла «случайная старушка», назвав их «идиотами» за то, что они не маскируются, хотя «вы не можете носить маску и есть одновременно».	107 57	121 69	major major
metricsystem1	rt.com.131279	6	rater1	O'Brien told the woman to leave the park and stop harassing her, at which point the woman unleashed a can of mace at the couple.	О'Брайен сказал женщине покинуть парк и перестать беспокоить ее, после чего женщина выпустила в пару банку с булавой.	109	119	major
metricsystem1	rt.com.131279	7	rater1	Video footage captured by a bystander begins with Kelley wrestling the spray can from the woman, and getting a dose of mace into the face for his troubles.	Видеозапись, снятая прохожим, начинается с того, что Келли борется с баллончиком с баллончиком у женщины и получает дозу булавы в лицо за свои проблемы.	121 135 81	130 154 97	major major major
metricsystem1	rt.com.131279	8	rater1	O'Brien can be heard crying in the background as the attacker walks away with her dogs.	На заднем плане можно услышать плач О'Брайен, когда нападавшая уходит со своими собаками.	-1	-1	no-error
metricsystem1	rt.com.131279	9	rater1	"O'Brien shared the video on Facebook and told ABC 10 that she wants to see the woman ""go to jail."""	О'Брайен поделилась видео на Facebook и сказала ABC 10, что она хочет, чтобы женщина «пошла в тюрьму».	29	40	major
metricsystem1	rt.com.131279	10	rater1	Face masks are mandatory across the state of California, even in fresh air.	Маски для лица обязательны в штате Калифорния, даже на свежем воздухе.	-1	-1	no-error
metricsystem1	rt.com.131279	11	rater1	These masks can only be removed at a select few times, including when eating or drinking.	Эти маски можно снимать только несколько раз, в том числе во время еды или питья.	31	47	major
metricsystem1	rt.com.131279	12	rater1	However, nowhere in the state's coronavirus guidelines does it say that bystanders may use non-lethal weapons to enforce this policy.	Однако нигде в руководящих принципах штата по коронавирусу не говорится, что свидетели могут использовать нелетальное оружие для обеспечения соблюдения этой политики.	-1	-1	no-error
metricsystem1	rt.com.131279	13	rater1	"Even in the current era of ""mask-shaming,"" that's still a crime carrying a penalty of a fine of $1,000 or up to three years in a state prison."	Даже в нынешнюю эпоху «маскировки» это по-прежнему преступление, влекущее за собой штраф в размере 1000 долларов или до трех лет лишения свободы в государственной тюрьме.	22	37	major
metricsystem1	en.ndtv.com.75106	1	rater1	Flat, Free Education For Indore Egg Seller Paras Raykar Whose Cart Was Overturned Allegedly Over Rs. 100 Bribe	Квартира, бесплатное образование для продавца яиц из Индора Параса Райкара, чья тележка была перевернута якобы за взятку в размере 100 рупий	-1	-1	no-error
metricsystem1	en.ndtv.com.75106	2	rater1	Paras Raykar's cart carrying eggs was allegedly overturned Thursday by the civic officials in Indore.	Тележка Параса Райкара с яйцами была опрокинута в четверг властями Индора.	-1	-1	no-error
metricsystem1	en.ndtv.com.75106	3	rater1	Two days after the story of a 13-year-old egg seller's cart being overturned by civic officials went viral on social media, the Indore-based boy has found overwhelming support from people across the country, helping them recover from the losses and manage to start their business again.	Через два дня после того, как в социальных сетях распространилась история о том, как 13-летний продавец яиц перевернул тележку 13-летнего мальчика, мальчик из Индора нашел огромную поддержку у людей по всей стране, помогая им оправиться от потерь и начать свой бизнес снова.	138 85	149 110	major major
metricsystem1	en.ndtv.com.75106	4	rater1	The boy's family also claimed that politicians including Congress leader Rahul Gandhi and Delhi Chief Minister Arvind Kejriwal have reached out to them and offered support.	Семья мальчика также утверждала, что политики, в том числе лидер Конгресса Рахул Ганди и главный министр Дели Арвинд Кеджривал, обратились к ним и предложили поддержку.	-1	-1	no-error
metricsystem1	en.ndtv.com.75106	5	rater1	The boy's family also received a flat and offer to take care of the educational expenses of the children in the family.	Семья мальчика также получила квартиру и предложила взять на себя расходы на образование детей в семье.	41	54	major
metricsystem1	en.ndtv.com.75106	6	rater1	"Paras Raykar's cart carrying eggs was allegedly overturned Thursday by the civic officials in Indore, where the administration has implemented the ""left-right"" rule for the staggered opening of shops amid the coronavirus pandemic."	Тележка Параса Райкара с яйцами, как утверждается, была опрокинута в четверг общественными чиновниками в Индоре, где администрация ввела правило «слева-направо» для поэтапного открытия магазинов в условиях пандемии коронавируса.	145 77	163 105	major major
metricsystem1	en.ndtv.com.75106	7	rater1	A video in which the boy alleged that the officials had warned him in the morning to remove his cart or pay Rs 100 as bribe had gone viral on social media.	Видео, в котором мальчик утверждал, что утром чиновники предупредили его убрать тележку или заплатить 100 рупий в качестве взятки, стало вирусным в социальных сетях.	137	148	major
metricsystem1	en.ndtv.com.75106	8	rater1	When he refused, the officials tipped his cart over, destroying all the eggs, the boy alleged.	Когда он отказался, чиновники опрокинули его тележку, уничтожив все яйца, как утверждал мальчик.	-1	-1	no-error
metricsystem1	en.ndtv.com.75106	9	rater1	The boy had also claimed that his daily sale has been down due to the pandemic and the loss of his stock will put additional financial burden on him, in the video.	В видео мальчик также утверждал, что его ежедневные продажи снизились из-за пандемии, и потеря его акций ложится на него дополнительным финансовым бременем.	105 99	115 107	major major
metricsystem1	en.ndtv.com.75106	10	rater1	Since Thursday, the boy's family has been overwhelmed with support from people across the country, many of them offering help in both cash and kind.	С четверга семья мальчика была переполнена поддержкой людей по всей стране, многие из которых предлагали помощь как наличными, так и натурой.	133	143	major
metricsystem1	en.ndtv.com.75106	11	rater1	The family has also received help from locals.	Семья также получила помощь от местных жителей.	-1	-1	no-error
metricsystem1	en.ndtv.com.75106	12	rater1	While former chief minister Digvijaya Singh has offered financial support and help to get the children admitted in a college, BJP MLA from Indore, Ramesh Mendola, has assured to provide a house under the Pradhan Mantri Awas Yojana to the child.	В то время как бывший главный министр Дигвиджая Сингх предложил финансовую поддержку и помощь для поступления детей в колледж, BJP MLA из Индора, Рамеш Мендола, заверил, что предоставит ребенку дом под Прадхан Мантри Авас Йоджана.	127	137	major
metricsystem1	en.ndtv.com.75106	13	rater1	Indore Press Club has also provided ration and money to the boy.	Indore Press Club также обеспечил мальчика пайками и деньгами.	-1	-1	no-error
metricsystem1	en.ndtv.com.75106	14	rater1	Congress leader Rahul Gandhi's office and Delhi Chief Minister Arvind Kejriwal has also offered help.	Офис лидера Конгресса Рахула Ганди и главного министра Дели Арвинда Кеджривала также предложили помощь.	-1	-1	no-error
metricsystem1	en.ndtv.com.75106	15	rater1	"""We are overwhelmed by the support from people across the country."	«Мы поражены поддержкой людей по всей стране.	-1	-1	no-error
metricsystem1	en.ndtv.com.75106	16	rater1	(BJP MLA) Ramesh Mendola has assured a flat under the Pradhan Mantri Awas Yojana.	(BJP MLA) Рамеш Мендола заверил квартиру под Прадхан Мантри Авас Йоджана.	1 24	11 34	major major
metricsystem1	en.ndtv.com.75106	17	rater1	He has also provided a cycle and Rs 2,500.	Он также предоставил велосипед и 2500 рупий.	-1	-1	no-error
metricsystem1	en.ndtv.com.75106	18	rater1	Digvijaya Singh has provided Rs 10,000 and assurance to look after the education of the two children.	Дигвиджайя Сингх предоставил 10 000 рупий и гарантии, чтобы присмотреть за образованием двух детей.	54	62	major
metricsystem1	en.ndtv.com.75106	19	rater1	Rahul Gandhi's office has also called and offered support.	Офис Рахула Ганди также позвонил и предложил поддержку.	-1	-1	no-error
metricsystem1	en.ndtv.com.75106	20	rater1	A woman from Delhi Chief Minister Arvind Kejriwal called and offered help.	Женщина из главного министра Дели Арвинда Кеджривала позвонила и предложила помощь.	-1	-1	no-error
metricsystem1	en.ndtv.com.75106	21	rater1	"Jyothiraditya Scindia has also offered support,"" Paras's grandfather said."	Джйотирадитья Синдия также предложил поддержку», — сказал дедушка Параса.	-1	-1	no-error
metricsystem1	sky.com.33889	1	rater1	Home Secretary Priti Patel demands explanation from Twitter and Instagram over 'abhorrent' Wiley tweets	Министр внутренних дел Прити Патель требует от Twitter и Instagram объяснений по поводу «отвратительных» твитов Уайли	47 47 57	57 57 69	major major major
metricsystem1	sky.com.33889	2	rater1	"Priti Patel has demanded an explanation from Twitter and Instagram over the length of time it took to remove ""abhorrent"" posts made by Wiley."	Прити Патель потребовала от Twitter и Instagram объяснений, сколько времени потребовалось для удаления «отвратительных» сообщений, сделанных Уайли.	120 28 38 59	132 38 50 63	major major major major
metricsystem1	sky.com.33889	3	rater1	Police are currently investigating a series of antisemitic comments posted on the Grime artist's social media accounts.	В настоящее время полиция расследует серию антисемитских комментариев, опубликованных в социальных сетях артиста Grime.	-1	-1	no-error
metricsystem1	sky.com.33889	4	rater1	"The Home Secretary tweeted on Sunday: ""The antisemitic posts from Wiley are abhorrent."	Министр внутренних дел написал в воскресенье в Твиттере: «Антисемитские сообщения от Уайли отвратительны.	-1	-1	no-error
metricsystem1	sky.com.33889	5	rater1	"""They should not have been able to remain on Twitter and Instagram for so long and I have asked them for a full explanation."	«Они не должны были оставаться в Twitter и Instagram так долго, и я попросил их дать полное объяснение.	33 33 43	43 45 55	major major major
metricsystem1	sky.com.33889	6	rater1	"""Social media companies must act much faster to remove such appalling hatred from their platforms."""	«Компании социальных сетей должны действовать намного быстрее, чтобы удалить такую ужасную ненависть со своих платформ».	-1	-1	no-error
