index	original	translation	scores	mean	z_scores	z_mean
38	On the Kazakhstan section of the river there are presently three major hydroelectric plants, namely at Bukhtarma, Ust-Kamenogorsk and Shulbinsk.	ஆற்றின் கஜகஸ்தான் பிரிவில் தற்போது புக்தர்மா, உஸ்ட்-கமேனோகோர்ஸ்க் மற்றும் சுல்பின்ஸ்க் ஆகிய மூன்று பெரிய நீர்மின் நிலையங்கள் உள்ளன.	[92,95,92]	93.0	[0.40163530963669947, 0.6184291206010091, 0.3795772389306965]	0.466547223056135
39	Khawaja Shamsuddin Khawafi was Emperor Akbar's minister and superintendent of construction.	கவாஜா ஷம்சுதீன் கவாபி பேரரசர் அக்பரின் அமைச்சராகவும், கட்டுமான கண்காணிப்பாளராகவும் இருந்தார்.	[92,70,78]	80.0	[0.40163530963669947, -0.7494310425078954, -0.5112570981914211]	-0.286350943687539
40	Several ancient and medieval books state that Kālidāsa was a court poet of a king named Vikramāditya.	பல பழங்கால மற்றும் இடைக்கால புத்தகங்கள் Kcelinius liddisamines sa விக்ரமசிங்க தித்யா என்ற மன்னரின் அரசவை கவிஞராக இருந்தார் என்று கூறுகின்றன.	[70,75,75]	73.33333333333333	[-0.8846400654007692, -0.4758590098861145, -0.7021501704318749]	-0.6875497485729195
41	The album was a top 10 success in Germany while both singles reached the top 20 in the UK.	இந்த ஆல்பம் ஜெர்மனியில் முதல் 10 இடங்களைப் பிடித்தது, அதே நேரத்தில் இரண்டு தனிப்பாடல்களும் இங்கிலாந்தில் முதல் 20 இடங்களைப் பிடித்தன.	[98,95,95]	96.0	[0.7524376846469182, 0.6184291206010091, 0.5704703111711503]	0.6471123721396926
42	Eoophyla menglensis is a moth in the family Crambidae.	ஈஃபைலா மெங்லென்சிஸ் (Eophyla menglensis) என்பது கிராம்பிடே குடும்பத்தைச் சேர்ந்த ஒரு அந்துப்பூச்சி ஆகும்.	[96,95,99]	96.66666666666667	[0.6355035596435119, 0.6184291206010091, 0.8249944074917553]	0.6929756959120921
43	Using charts, technical analysts seek to identify price patterns and market trends in financial markets and attempt to exploit those patterns.	வரைபடங்களைப் பயன்படுத்தி, தொழில்நுட்ப ஆய்வாளர்கள் நிதி சந்தைகளில் விலை வடிவங்கள் மற்றும் சந்தை போக்குகளை அடையாளம் கண்டு, அந்த வடிவங்களை பயன்படுத்திக் கொள்ள முயற்சிக்கின்றனர்.	[90,90,93]	91.0	[0.2847011846332932, 0.34485708797922815, 0.44320826301084776]	0.3575888452077897
44	Journalists' leaders in Dhaka protested the killing of Das and gave a three-day ultimatum to the government to arrest the killers.	டாக்காவில் பத்திரிகையாளர் தலைவர்கள் தாஸ் கொல்லப்பட்டதைக் கண்டித்து, கொலையாளிகளை கைது செய்ய அரசுக்கு மூன்று நாள் இறுதி எச்சரிக்கை விடுத்தனர்.	[91,95,94]	93.33333333333333	[0.34316824713499633, 0.6184291206010091, 0.506839287090999]	0.4894788849423348
45	However, recent historians have questioned the traditional version and claimed that there were also examples of coercion by nonconformist ministers.	இருப்பினும், சமீபத்திய வரலாற்றாசிரியர்கள் பாரம்பரிய பதிப்பை கேள்வி எழுப்பி, இணங்காத அமைச்சர்களால் வற்புறுத்தப்பட்டதற்கான உதாரணங்களும் இருப்பதாக கூறினர்.	[90,75,81]	82.0	[0.2847011846332932, -0.4758590098861145, -0.32036402595096736]	-0.17050728373459623
46	A request for proposal (RFP) is a document that solicits proposal, often made through a bidding process, by an agency or company interested in procurement of a commodity, service, or valuable asset, to potential suppliers to submit business proposals.	முன்மொழிவுக்கான வேண்டுகோள் (Request for proposal (RFP)) என்பது ஒரு பொருள், சேவை அல்லது மதிப்புமிக்க சொத்துக்களை வாங்குவதில் ஆர்வமுள்ள ஒரு நிறுவனம் அல்லது நிறுவனம் வணிக முன்மொழிவுகளை சமர்ப்பிப்பதற்காக பெரும்பாலும் ஏலத்தின் மூலம் முன்மொழிந்த ஒரு ஆவணமாகும்.	[90,70,77]	79.0	[0.2847011846332932, -0.7494310425078954, -0.5748881222715724]	-0.34653932671539156
47	Pulp Fiction is full of homages to other movies.	பல்ப் ஃபிக்ஷன் என்பது மற்ற திரைப்படங்களுக்கு அஞ்சலி செலுத்தும் வகையில் உள்ளது.	[91,95,95]	93.66666666666667	[0.34316824713499633, 0.6184291206010091, 0.5704703111711503]	0.5106892263023853
48	Upon Hussein Kamel's death, his only son, Prince Kamal el Dine Hussein, declined the succession, and Hussein Kamel's brother Ahmed Fuad ascended the throne as Fuad I.	ஹுசைன் காமலின் மரணத்திற்குப் பிறகு, அவரது ஒரே மகனான இளவரசர் கமல் அல் டைன் உசேன் வாரிசுரிமையை மறுத்தார், ஹுசைன் காமலின் சகோதரர் அகமது ஃபுவாட் முதலாம் ஃபுவாட் சிம்மாசனத்தில் ஏறினார்.	[98,98,95]	97.0	[0.7524376846469182, 0.7825723401740775, 0.5704703111711503]	0.7018267786640487
49	It provided full-duplex service at 300 bit/s over normal phone lines.	இது சாதாரண தொலைபேசி இணைப்புகளில் 300 பிட்/விநாடிகளில் முழு இருதிசை சேவையை வழங்கியது.	[90,90,92]	90.66666666666667	[0.2847011846332932, 0.34485708797922815, 0.3795772389306965]	0.3363785038477392
50	His unexpected rise to the presidency posed a threat to the presidential ambitions of Henry Clay and other politicians, and left Tyler estranged from both major political parties.	அவரது எதிர்பாராத பதவி உயர்வு, ஹென்றி கிளே மற்றும் பிற அரசியல்வாதிகளின் ஜனாதிபதி விருப்பங்களுக்கு அச்சுறுத்தலாக அமைந்ததுடன், டைலர் இரு முக்கிய அரசியல் கட்சிகளிடமிருந்தும் விலகினார்.	[91,95,96]	94.0	[0.34316824713499633, 0.6184291206010091, 0.6341013352513015]	0.5318995676624357
51	"Dhruva (Sanskrit: ध्रुव, IAST: Dhruva, ""unshakeable, immovable, or fixed"") was a notable ascetic devotee of Vishnu mentioned in the Vishnu Purana and the Bhagavata Purana."	துருவன் (Dhruva) என்பவர் விஷ்ணு புராணத்திலும், பாகவத புராணத்திலும் குறிப்பிடப்பட்டுள்ள விஷ்ணுவின் குறிப்பிடத்தக்க துறவி பக்தர் ஆவார்.	[40,95,38]	57.666666666666664	[-2.638651940451863, 0.6184291206010091, -3.0564980613974715]	-1.6922402937494418
52	Its heavy industry includes iron and steel production, located near its capital city of Xining.	அதன் கனரக தொழில்துறை அதன் தலைநகரான சைனிங்கிற்கு அருகே அமைந்துள்ள இரும்பு மற்றும் எஃகு உற்பத்தியை உள்ளடக்கியது.	[98,95,95]	96.0	[0.7524376846469182, 0.6184291206010091, 0.5704703111711503]	0.6471123721396926
53	Special libraries also exist within academic institutions.	கல்வி நிறுவனங்களில் சிறப்பு நூலகங்களும் உள்ளன.	[98,90,96]	94.66666666666667	[0.7524376846469182, 0.34485708797922815, 0.6341013352513015]	0.5771320359591493
54	Ramayana in Songs) is considered his most notable work.	பாடல்களில் ராமாயணம்) அவரது மிகவும் குறிப்பிடத்தக்க படைப்பாகக் கருதப்படுகிறது.	[98,95,94]	95.66666666666667	[0.7524376846469182, 0.6184291206010091, 0.506839287090999]	0.6259020307796421
55	"The frizzen, historically called the ""hammer"" or the steel, is an ""L""-shaped piece of steel hinged at the front used in flintlock firearms."	"""வரலாற்று ரீதியாக"" ""சுத்தியல்"" ""அல்லது எஃகு என்று அழைக்கப்படும் ஃப்ரிஸன் என்பது"" ""L"" ""வடிவ எஃகு துண்டாகும்."""	[35,75,39]	49.666666666666664	[-2.9309872529603784, -0.4758590098861145, -2.9928670373173203]	-2.133237766721271
56	The district is bordered by Vellore district to the northeast, Krishnagiri district to the southwest, Tiruvannamalai district to the southeast, and the Chittoor district district of Andhra Pradesh to the northwest.	இந்த மாவட்டத்தின் வடகிழக்கில் வேலூர் மாவட்டமும், தென்மேற்கில் கிருஷ்ணகிரி மாவட்டமும், தென்கிழக்கில் திருவண்ணாமலை மாவட்டமும், வடமேற்கில் ஆந்திரப் பிரதேசத்தின் சித்தூர் மாவட்டமும் எல்லைகளாக உள்ளன.	[98,95,95]	96.0	[0.7524376846469182, 0.6184291206010091, 0.5704703111711503]	0.6471123721396926
57	The National Football League (NFL) is a professional American football league consisting of 32 teams, divided equally between the National Football Conference (NFC) and the American Football Conference (AFC).	தேசிய கால்பந்துக் கழகம் (National Football League-NFL) என்பது 32 அணிகளைக் கொண்ட ஒரு தொழில்முறை அமெரிக்கக் கால்பந்துக் கழகம் ஆகும்.	[32,50,42]	41.333333333333336	[-3.1063884404654876, -1.8437191729950189, -2.8019739650768662]	-2.584027192845791
58	There is only about 1 km (0.6 mi) of land border, made up of portages including Height of Land Portage on the Minnesota border.	சுமார் 1 கிமீ (0.6 மைல்) நில எல்லை மட்டுமே உள்ளது, இது மினசோட்டா எல்லையில் உள்ள நில போர்ட்டேஜின் உயரம் உட்பட துறைமுகங்களால் ஆனது.	[50,30,42]	40.666666666666664	[-2.0539813154348314, -2.9380073034821423, -2.8019739650768662]	-2.597987527997947
59	The producers sought to have Warner Bros. finance the picture as they did for Terminator 3.	டெர்மினேட்டர் 3 படத்தைப் போலவே வார்னர் பிரதர்ஸ் படத்திற்கும் நிதியுதவி செய்ய தயாரிப்பாளர்கள் விரும்பினர்.	[94,95,92]	93.66666666666667	[0.5185694346401057, 0.6184291206010091, 0.3795772389306965]	0.5055252647239371
60	On the strength of his name, Miramax garnered $11 million for the film's worldwide rights, virtually ensuring its profitability.	அவரது பெயரின் பலத்தால், மிராமேக்ஸ் திரைப்படத்தின் உலகளாவிய உரிமைகளுக்காக 11 மில்லியன் டாலர்களை வசூலித்தது, இதன் மூலம் அதன் லாபத்தை உறுதி செய்தது.	[92,92,90]	91.33333333333333	[0.40163530963669947, 0.45428590102794053, 0.252315190770394]	0.369412133811678
61	He was also associated with conservation of monuments such as Taj Mahal and forts.	தாஜ்மஹால் மற்றும் கோட்டைகள் போன்ற நினைவுச்சின்னங்களின் பாதுகாப்பிலும் அவர் ஈடுபட்டிருந்தார்.	[98,98,99]	98.33333333333333	[0.7524376846469182, 0.7825723401740775, 0.8249944074917553]	0.7866681441042503
62	The study of myth began in ancient history.	தொன்மவியல் பற்றிய ஆய்வு பண்டைய வரலாற்றில் தொடங்கியது.	[98,95,94]	95.66666666666667	[0.7524376846469182, 0.6184291206010091, 0.506839287090999]	0.6259020307796421
63	Some of the more notable ancient writers include Herodotus, Thucydides, Arrian, Plutarch, Polybius, Sima Qian, Sallust, Livy, Josephus, Suetonius, and Tacitus.	ஹெரோடோட்டஸ், துசிடைடிஸ், ஆரியன், புளூடார்க், பாலிபியஸ், சிமா கியான், சல்லாஸ்ட், லிவி, ஜோசிஃபஸ், சுட்டோனியஸ், டாசிடஸ் ஆகியோர் குறிப்பிடத்தக்க பண்டைய எழுத்தாளர்களில் சிலராவர்.	[98,95,94]	95.66666666666667	[0.7524376846469182, 0.6184291206010091, 0.506839287090999]	0.6259020307796421
64	For example, water retained in a reservoir to allow boating in the late summer is not available to farmers during the spring planting season.	உதாரணமாக, கோடைக் காலத்தின் பிற்பகுதியில் படகுப் பயணத்தை அனுமதிப்பதற்காக நீர்த்தேக்கத்தில் வைத்திருக்கும் தண்ணீர் வசந்த கால நடவுப் பருவத்தில் விவசாயிகளுக்கு கிடைப்பதில்லை.	[86,95,93]	91.33333333333333	[0.05083293462648073, 0.6184291206010091, 0.44320826301084776]	0.3708234394127792
65	That is the case for programs at the University of California, Riverside, as well as the Volcani Centre and the Instituto de Investigaciones Agropecuarias in Chile.	கலிபோர்னியா பல்கலைக்கழகம், ரிவர்சைடு, எரிமலை மையம், சிலியில் உள்ள Instituto de Investigaciones Agropecuarias ஆகியவற்றிலும் இதே போன்ற நிகழ்ச்சிகள் நடத்தப்படுகின்றன.	[50,30,43]	41.0	[-2.0539813154348314, -2.9380073034821423, -2.738342940996715]	-2.576777186637896
66	"A player given a yellow card is said to have been ""booked"", the referee writing the player's name in their official notebook."	"""மஞ்சள் அட்டை வழங்கப்பட்ட வீரர்"" ""பதிவு செய்யப்பட்டவர்"" ""என்று கூறப்படுகிறார், நடுவர் அவர்களின் அதிகாரப்பூர்வ நோட்டுப் புத்தகத்தில் வீரரின் பெயரை எழுதுகிறார்."""	[90,30,63]	61.0	[0.2847011846332932, -2.9380073034821423, -1.46572245939369]	-1.3730095260808464
67	Willem-Alexander was born in Utrecht as the oldest child of Princess Beatrix and diplomat Claus van Amsberg.	வில்லியம் அலெக்சாண்டர் உட்ரெட்ச்டில் இளவரசி பீட்ரிக்ஸ் மற்றும் தூதர் கிளாஸ் வான் ஆம்ஸ்பெர்க் ஆகியோரின் மூத்த குழந்தையாக பிறந்தார்.	[96,95,99]	96.66666666666667	[0.6355035596435119, 0.6184291206010091, 0.8249944074917553]	0.6929756959120921
68	He left school shortly afterwards.	சிறிது நேரத்திலேயே பள்ளியை விட்டு வெளியேறினார்.	[98,98,99]	98.33333333333333	[0.7524376846469182, 0.7825723401740775, 0.8249944074917553]	0.7866681441042503
69	Many potassium salts are prepared by neutralization reactions involving KOH.	பல பொட்டாசியம் உப்புகள் KOH உடன் தொடர்புடைய நடுநிலையாக்கல் வினைகளால் தயாரிக்கப்படுகின்றன.	[94,95,97]	95.33333333333333	[0.5185694346401057, 0.6184291206010091, 0.6977323593314528]	0.6115769715241892
